,restaurant,url,category,distance,star,num_reviews
60,Chai Naka,https://www.doordash.com/store/1565102/?pickup=false,"$$ • Fast Food, Snacks",26 min • 1.1 mi,4.5,(21)
61,Vesuvio Ristorante,https://www.doordash.com/store/205973/?pickup=false,"$$$$ • Italian, Pizza",29 min • 500 ft,4.3,(52)
62,China Palace (CP),https://www.doordash.com/store/205301/?pickup=false,"$$ • Chinese, Vegetarian",26 min • 2.1 mi,4.0,(364)
63,Grillz Spot,https://www.doordash.com/store/23121460/?pickup=false,"$$ • Smoothies, Rice",25 min • 1.1 mi,4.0,
64,Epic Burger,https://www.doordash.com/store/2352831/?pickup=false,"$$ • Fast Food, Fries",25 min • 0.7 mi,4.2,
65,Dosa Dosa Inc,https://www.doordash.com/store/2493044/?pickup=false,"$ • Indian, Street Food",24 min • 1.2 mi,4.1,
66,Family Pizza,https://www.doordash.com/store/205347/?pickup=false,"$$ • Fries, Italian",24 min • 2.5 mi,3.8,(25)
67,The Wing Spot,https://www.doordash.com/store/1910756/?pickup=false,"$$ • Fries, Wraps",28 min • 1.6 mi,4.7,(32)
68,Royal Kabob,https://www.doordash.com/store/1866656/?pickup=false,"$ • Afghan, Kebabs",26 min • 1.2 mi,4.4,(65)
69,Hakka Spoon Inc,https://www.doordash.com/store/2828198/?pickup=false,"$$ • Chinese, Seafood",26 min • 0.8 mi,4.2,(67)
70,Gentlemen Chai and Snacks,https://www.doordash.com/store/1423746/?pickup=false,"$$ • Street Food, Milk Tea",25 min • 0.9 mi,4.2,(97)
71,Wild Wing,https://www.doordash.com/store/205219/?pickup=false,"$$ • Fast Food, Chicken Wings",24 min • 0.9 mi,3.8,(149)
72,Heritage India,https://www.doordash.com/store/23026115/?pickup=false,"$$ • Salads, Curry",26 min • 1.2 mi,4.2,
73,Street Bitez,https://www.doordash.com/store/2466126/?pickup=false,"$$ • Coffee, Dessert",28 min • 1.6 mi,4.2,(88)
74,Pita Pit,https://www.doordash.com/store/731293/?pickup=false,"$ • Frozen Yogurt, Build Your Own",23 min • 200 ft,4.4,(208)
75,Blackstone Steakhouse and Grill,https://www.doordash.com/store/1390658/?pickup=false,"$$ • Italian, Chicken",28 min • 700 ft,4.4,(26)
76,Kin-Kin Bakery & Bubble Tea,https://www.doordash.com/store/1697153/?pickup=false,"$$ • Bakery, Bubble Tea",29 min • 1.7 mi,4.6,(18)
77,9 Queen Chinese Cuisine 皇后玖號,https://www.doordash.com/store/543203/?pickup=false,"$$ • Chinese, Chicken",29 min • 200 ft,4.2,(54)
78,Booster Juice,https://www.doordash.com/store/823716/?pickup=false,"$$ • Juice Bars & Smoothies, Healthy",21 min • 1.9 mi,4.6,(260)
79,Circle K,https://www.doordash.com/convenience/store/1288755/?pickup=false,"$$ • Grocery, chips",21 min • 0.4 mi,4.4,(29)
80,Fusion Pub & Pool,https://www.doordash.com/store/1447709/?pickup=false,"$$ • Alcohol, Beer",28 min • 1.7 mi,4.3,(13)
81,Tribal Wings,https://www.doordash.com/store/2355773/?pickup=false,$$ • Chicken Wings,26 min • 0.7 mi,4.2,
82,A&W Canada,https://www.doordash.com/store/487285/?pickup=false,"$$ • Canadian, Breakfast",28 min • 1.4 mi,4.0,(920+)
83,241 Pizza,https://www.doordash.com/store/987360/?pickup=false,"$$ • Pizza, Chicken",24 min • 0.9 mi,4.5,(96)
84,Little Caesars Pizza,https://www.doordash.com/store/1148958/?pickup=false,"$$ • Italian, Pizza",27 min • 1.6 mi,4.4,(112)
85,Swiss Chalet,https://www.doordash.com/store/205275/?pickup=false,"$$ • Chicken, Barbecue",27 min • 2.2 mi,4.5,(481)
86,Smoke's Poutinerie,https://www.doordash.com/store/586809/?pickup=false,"$$ • Pork, Boneless Wings",26 min • 2.1 mi,4.0,(295)
87,Second Cup,https://www.doordash.com/store/961068/?pickup=false,"$$ • Bakery, Espresso",26 min • 1.9 mi,4.5,(89)
88,Freshii,https://www.doordash.com/store/511591/?pickup=false,"$$ • Tacos, Burritos",29 min • 2.0 mi,4.4,(399)
