,restaurant,url,category,distance,star,num_reviews
137,Faubourg,https://www.doordash.com/store/566660/?pickup=false,"$$ • Creperies, Sandwiches",15 min • 0.4 mi,4.6,(56)
138,Hokkaido Ramen Santouka,https://www.doordash.com/store/828447/?pickup=false,"$$ • Ramen, Japanese",20 min • 1.1 mi,4.7,(464)
139,Sandwich Plus,https://www.doordash.com/store/357954/?pickup=false,"$$ • Sandwiches, Breakfast",15 min • 0.4 mi,4.8,(102)
140,Hundy,https://www.doordash.com/store/23244477/?pickup=false,"$ • American, Burgers",21 min • 0.5 mi,4.3,(60)
141,Tsuki Sushi Bar,https://www.doordash.com/store/28194/?pickup=false,"$ • Japanese, Sashimi",27 min • 0.3 mi,4.6,"(3,000+)"
142,Trish Juice,https://www.doordash.com/store/853520/?pickup=false,"$$ • Juice Bar, Smoothies",20 min • 0.5 mi,4.8,(411)
143,Hubbub,https://www.doordash.com/store/1155674/?pickup=false,"$ • Sandwiches, Salads",11 min • 700 ft,4.8,(300)
144,Passione Gelato,https://www.doordash.com/store/983465/?pickup=false,"$$ • Dessert, Gelato",16 min • 0.3 mi,4.8,(105)
145,Denny's,https://www.doordash.com/store/28740/?pickup=false,"$ • American, Breakfast",21 min • 0.7 mi,4.3,"(2,000+)"
146,The Garden Strathcona,https://www.doordash.com/store/566647/?pickup=false,"$$ • Cafe, Coffee",29 min • 1.3 mi,4.8,(840+)
147,POKE.M,https://www.doordash.com/store/794276/?pickup=false,$$ • Poke,17 min • 0.3 mi,4.6,(580+)
148,Smithe Salad,https://www.doordash.com/store/1048953/?pickup=false,"$$ • Juice Bar, Smoothies",19 min • 0.2 mi,4.8,(285)
149,Freshii,https://www.doordash.com/store/921426/?pickup=false,"$$ • Smoothies, Wraps",20 min • 0.7 mi,4.5,(322)
150,Crave India,https://www.doordash.com/store/895210/?pickup=false,"$$ • Indian, Vegetarian",17 min • 0.4 mi,4.3,(257)
151,Firecrust Pizzeria,https://www.doordash.com/store/98428/?pickup=false,"$$ • Pizza, Salads",27 min • 0.6 mi,4.3,"(3,000+)"
152,Happy Noodle House 开心面馆,https://www.doordash.com/store/725654/?pickup=false,"$$ • Chinese, Noodles",21 min • 0.6 mi,4.6,(730+)
153,Tartine Bread & Pies,https://www.doordash.com/store/42909/?pickup=false,"$$ • Bakery, Breakfast",22 min • 0.9 mi,4.6,(416)
154,Edible Flours,https://www.doordash.com/store/31587/?pickup=false,"$$ • Sweets, Cupcakes",25 min • 2.2 mi,4.8,(386)
155,Burger King,https://www.doordash.com/store/31717/?pickup=false,"$ • American, Burgers",15 min • 0.3 mi,4.1,(720+)
156,Babylon Cafe,https://www.doordash.com/store/2321231/?pickup=false,"$$ • Middle Eastern, Wraps",16 min • 0.4 mi,4.7,
157,Chatime,https://www.doordash.com/store/31569/?pickup=false,"$$ • Bubble Tea, Taiwanese",23 min • 1.6 mi,4.5,"(1,300+)"
158,Broadway Mini Mart,https://www.doordash.com/convenience/store/1345317/?pickup=false,"$$ • Snacks & Sweets, Frozen Food",29 min • 1.2 mi,4.3,(28)
159,Happy Lemon,https://www.doordash.com/store/354178/?pickup=false,"$$ • Taiwanese, Healthy",21 min • 0.7 mi,4.6,(500+)
160,Gene Coffee Bar,https://www.doordash.com/store/446051/?pickup=false,"$$ • Coffee & Tea, Latte",24 min • 1.3 mi,4.7,(610+)
161,Thai Town Restaurant,https://www.doordash.com/store/42862/?pickup=false,"$$ • Thai, Seafood",24 min • 0.4 mi,4.5,(870+)
162,ChongQing Restaurant 重庆饭店,https://www.doordash.com/store/28041/?pickup=false,"$$ • Chinese, Noodles",22 min • 0.7 mi,4.4,(830+)
163,Finch's Tea & Coffee House,https://www.doordash.com/store/178716/?pickup=false,"$$ • Sweets, Salads",21 min • 0.2 mi,4.8,(307)
164,Gurkha Himalayan Kitchen,https://www.doordash.com/store/30999/?pickup=false,"$$ • Himalayan/Nepalese, Appetizers",24 min • 0.8 mi,4.6,(810+)
165,River Sushi,https://www.doordash.com/store/1824146/?pickup=false,"$$ • Japanese, Sushi",23 min • 1.2 mi,4.6,(690+)
166,"Sombreros, Mexican Products and Taqueria",https://www.doordash.com/store/566535/?pickup=false,"$$ • Mexican, Tacos",22 min • 0.7 mi,4.5,(452)
167,La Catrina,https://www.doordash.com/store/98568/?pickup=false,"$$ • Tacos, Mexican",26 min • 1.3 mi,4.5,(128)
168,Festal Paleo Cafe,https://www.doordash.com/store/486961/?pickup=false,"$$ • Keto, Comfort Food",19 min • 0.3 mi,4.6,(560+)
169,Romano's Pizza,https://www.doordash.com/store/210232/?pickup=false,"$$ • Pizza, Italian",23 min • 0.4 mi,4.5,(850+)
170,Pacifico Pizzeria & Ristorante,https://www.doordash.com/store/31052/?pickup=false,"$$ • Italian, Pizza",26 min • 0.4 mi,4.5,(660+)
171,Yanaki Sushi,https://www.doordash.com/store/98620/?pickup=false,"$$ • Sushi, Japanese",21 min • 1.1 mi,4.7,"(1,500+)"
172,Salsa & Agave Mexican Grill,https://www.doordash.com/store/31064/?pickup=false,"$$ • Mexican, Tacos",21 min • 0.5 mi,4.5,(358)
173,Teaspoons & Co,https://www.doordash.com/store/487774/?pickup=false,"$$ • Milk Tea, Fruit Tea",19 min • 0.4 mi,5.0,(11)
174,Tokyo Joe's (Other),https://www.doordash.com/store/214660/?pickup=false,"$$ • Japanese, Sushi",19 min • 0.5 mi,4.5,(92)
