,restaurant,url,category,distance,star,num_reviews
125,Oodle Noodle,https://www.doordash.com/store/23279654/?pickup=false,"$$ • Noodles, Soup",24 min • 1.3 mi,4.8,
126,BaoBao,https://www.doordash.com/store/839347/?pickup=false,"$$ • Noodles, Dumplings",27 min • 0.4 mi,4.6,(117)
127,Norwood Liquor,https://www.doordash.com/store/1662645/?pickup=false,"$$ • Liquor Store, Beer",24 min • 1.8 mi,4.6,(109)
128,Man vs Fries,https://www.doordash.com/store/1525585/?pickup=false,"$ • Black-Owned, Chicken",27 min • 0.4 mi,4.5,(435)
129,Vera's Burger Shack,https://www.doordash.com/store/2207100/?pickup=false,"$ • Burgers, Fries",27 min • 0.4 mi,4.6,(109)
130,New York Fries,https://www.doordash.com/store/1153050/?pickup=false,"$$ • Fries, Hot Dogs",19 min • 0.2 mi,4.1,(67)
131,Ag Burgers,https://www.doordash.com/store/2835230/?pickup=false,"$$ • Burgers, Sandwiches",23 min • 0.3 mi,5.0,
132,Wrap N Roll Express,https://www.doordash.com/store/1311065/?pickup=false,"$$ • Wraps, Shawarma",21 min • 0.7 mi,4.8,(21)
133,The Ice Cream Shop By Ghost Kitchens,https://www.doordash.com/store/962014/?pickup=false,"$$ • Bakery, Cheesecake",24 min • 1.2 mi,4.1,(118)
134,East African Village Restaurant,https://www.doordash.com/store/1218055/?pickup=false,"$$ • Fish, Shrimp",30 min • 0.4 mi,4.4,(83)
135,Belge cafe,https://www.doordash.com/store/1249921/?pickup=false,"$$ • Cafe, Breakfast",23 min • 1.3 mi,3.4,
136,Osmow's,https://www.doordash.com/store/1738804/?pickup=false,"$$ • Mediterranean, Shawarma",24 min • 1.3 mi,4.0,(102)
137,Babaz Shawarma,https://www.doordash.com/store/477536/?pickup=false,"$$ • Indian, Cheesecake",27 min • 1.2 mi,3.1,(65)
138,DIVINE THE INDIAN CUISINE,https://www.doordash.com/store/1862737/?pickup=false,"$$ • Indian, Curry",28 min • 0.8 mi,4.6,(45)
139,PABLO CHEESE TART,https://www.doordash.com/store/22967612/?pickup=false,"$$ • Smoothies, Desserts",27 min • 2.0 mi,4.8,(33)
140,Maria Northern Mexican Cuisine,https://www.doordash.com/store/1488824/?pickup=false,"$$ • Mexican, Tacos",26 min • 800 ft,4.5,(59)
141,Teapsy Lab,https://www.doordash.com/store/2705347/?pickup=false,"$$ • Asian Fusion, Teppanyaki",28 min • 1.9 mi,4.6,(35)
142,Mr Pretzels,https://www.doordash.com/store/1581212/?pickup=false,"$$ • Fast Food, Pretzels",25 min • 1.2 mi,4.5,(40)
143,Chicken King Chinese Restaurant,https://www.doordash.com/store/1449848/?pickup=false,"$$ • Chinese, Chicken",24 min • 0.7 mi,4.5,(157)
144,Zuppa Cafe & Pizza,https://www.doordash.com/store/511687/?pickup=false,"$$ • Italian, Pizza",24 min • 0.8 mi,4.0,
145,SPICE KITCHEN BAR,https://www.doordash.com/store/23334472/?pickup=false,"$$ • Indian, Biryani",24 min • 0.8 mi,4.5,
146,Bully Sandwiches By Ghost Kitchens,https://www.doordash.com/store/477564/?pickup=false,"$$ • Cheesecake, Poutineries",27 min • 1.2 mi,3.9,(37)
147,CornerHUB,https://www.doordash.com/store/1497877/?pickup=false,"$$ • Cafe, Coffee & Tea",29 min • 1.9 mi,4.9,(42)
148,Another Wing By DJ Khaled,https://www.doordash.com/store/2430600/?pickup=false,"$ • American, Chicken",21 min • 0.3 mi,4.0,(39)
149,KFC,https://www.doordash.com/store/1054807/?pickup=false,"$$ • American, Sandwiches",21 min • 900 ft,4.6,(163)
150,Sticky Wings,https://www.doordash.com/store/1438125/?pickup=false,"$ • American, Fast Food",21 min • 0.3 mi,3.9,(17)
151,Liquor Time,https://www.doordash.com/store/1662616/?pickup=false,"$$ • Alcohol, Liquor Store",30 min • 2.3 mi,4.8,(79)
152,Vegango Restaurant,https://www.doordash.com/store/22990918/?pickup=false,"$$ • Vegan, Burgers",27 min • 1.1 mi,4.1,
153,Buns & Bao,https://www.doordash.com/store/2431224/?pickup=false,"$ • Cheesecake, Steamed Buns",21 min • 0.3 mi,4.7,(59)
154,Freshslice Pizza,https://www.doordash.com/store/23018903/?pickup=false,"$$ • Dessert, Italian",24 min • 0.6 mi,3.7,
155,Meltwich Food Co.,https://www.doordash.com/store/2672206/?pickup=false,"$$ • Comfort Food, Grilled Cheese",29 min • 0.8 mi,4.5,(91)
156,Funnel Cake,https://www.doordash.com/store/22969935/?pickup=false,$$ • Dessert,28 min • 1.2 mi,3.6,
157,Lan Noodle,https://www.doordash.com/store/1931152/?pickup=false,"$$ • Noodles, Salads",29 min • 1.9 mi,4.8,(20)
158,American Eclectic Burger,https://www.doordash.com/store/1691788/?pickup=false,"$ • American, Burgers",22 min • 0.3 mi,4.2,(58)
159,Rebel Wings,https://www.doordash.com/store/1438128/?pickup=false,"$ • American, Wings",21 min • 0.3 mi,4.0,(39)
160,Quiznos,https://www.doordash.com/store/674109/?pickup=false,"$$ • Salads, Soup",28 min • 1.7 mi,4.3,(99)
161,Bawk Bawk,https://www.doordash.com/store/1141297/?pickup=false,"$$ • Chicken Wings, Chicken Tenders",22 min • 0.3 mi,4.5,(75)
162,Chachi's Sandwiches,https://www.doordash.com/store/2294740/?pickup=false,"$$ • Sandwiches, Sausage",24 min • 0.5 mi,4.2,(17)
163,99 SUNFLOWER CAFE EATERY,https://www.doordash.com/store/23352326/?pickup=false,"$$ • Cafe, Italian",29 min • 0.4 mi,,
164,MrBeast Burger Canada,https://www.doordash.com/store/23135125/?pickup=false,"$$ • Burgers, Cheeseburger",23 min • 0.8 mi,4.2,
165,Taco Del Mar By Ghost Kitchens,https://www.doordash.com/store/1067943/?pickup=false,"$$ • Bakery, Cheesecake",24 min • 1.2 mi,3.3,(38)
