,restaurant,url,category,distance,star,num_reviews
92,Freshslice Pizza,https://www.doordash.com/store/1513667/?pickup=false,"$$ • Dessert, Italian",16 min • 0.3 mi,4.4,(257)
93,Calan Beef Noodle,https://www.doordash.com/store/1159282/?pickup=false,"$$ • Chinese, Noodles",26 min • 1.0 mi,4.6,(384)
94,Im Chicken,https://www.doordash.com/store/2784126/?pickup=false,"$$ • Chicken Wings, Chicken",28 min • 1.4 mi,4.7,(207)
95,Wolf Down,https://www.doordash.com/store/2437382/?pickup=false,"$ • German, Sandwiches",18 min • 0.8 mi,4.5,(145)
96,Pizza Hut,https://www.doordash.com/store/1026767/?pickup=false,"$$ • Pizza, Italian",20 min • 1.1 mi,4.5,(499)
97,Get Smoked,https://www.doordash.com/store/122859/?pickup=false,"$$ • Sandwiches, Barbecue",26 min • 2.0 mi,4.4,(435)
98,bb.q Chicken,https://www.doordash.com/store/1060763/?pickup=false,"$$ • Chicken, Chicken Wings",20 min • 0.3 mi,4.6,(620+)
99,Shawarma Barlow,https://www.doordash.com/store/743571/?pickup=false,"$$ • Middle Eastern, Shawarma",23 min • 1.1 mi,4.3,(980+)
100,Lotus Vietnamese Noodle House,https://www.doordash.com/store/100903/?pickup=false,"$$ • Vietnamese, Appetizers",14 min • 0.2 mi,4.3,(720+)
101,Kung Fu Tea Calgary,https://www.doordash.com/store/23075936/?pickup=false,"$$ • Bubble Tea, Coffee",24 min • 1.9 mi,4.8,(54)
102,Tu Taco,https://www.doordash.com/store/1805709/?pickup=false,"$$ • Mexican, Snacks",24 min • 1.4 mi,4.4,(154)
103,Thé Moon Tea House,https://www.doordash.com/store/1256215/?pickup=false,"$$ • Coffee, Dessert",18 min • 0.3 mi,4.7,(530+)
104,El Charrito Taqueria,https://www.doordash.com/store/519431/?pickup=false,"$$ • Mexican, Salads",28 min • 1.1 mi,4.4,"(1,500+)"
105,Booster Juice,https://www.doordash.com/store/1124230/?pickup=false,"$$ • Juice Bars & Smoothies, Healthy",17 min • 0.4 mi,4.7,(350)
106,Fusion Sushi and Thai,https://www.doordash.com/store/99725/?pickup=false,"$$ • Japanese, Sushi",20 min • 0.3 mi,4.4,(940+)
107,MOXIES,https://www.doordash.com/store/364169/?pickup=false,"$ • Bar and Grill, Salads",25 min • 0.8 mi,4.5,(251)
108,Roys Korean Kitchen,https://www.doordash.com/store/1036586/?pickup=false,"$$ • Korean, Snacks",17 min • 0.3 mi,4.7,(240)
109,Pizza Culture,https://www.doordash.com/store/23019463/?pickup=false,"$$ • Beer, Wine & Spirits",25 min • 1.3 mi,4.5,(78)
110,Uzu Taiyaki,https://www.doordash.com/store/1179665/?pickup=false,"$ • Ice Cream, Dessert",14 min • 0.5 mi,4.6,(39)
111,Prairie Donair,https://www.doordash.com/store/2834675/?pickup=false,"$$ • Fast Food, Vegetarian",22 min • 1.2 mi,4.2,(125)
112,Caffe Artigiano,https://www.doordash.com/store/363643/?pickup=false,"$ • Cafe, Bakery",21 min • 0.5 mi,4.8,(21)
113,The street eatery,https://www.doordash.com/store/1242423/?pickup=false,"$$ • Vegan, Alcohol",27 min • 0.9 mi,4.7,(324)
114,Shawarma Station,https://www.doordash.com/store/92988/?pickup=false,"$$ • Shawarma, Wraps",21 min • 1.2 mi,4.4,"(1,000+)"
115,Ghost Kitchens Presents Cheesecake Factory Bakery,https://www.doordash.com/store/957447/?pickup=false,"$$ • Bakery, Dessert",29 min • 1.8 mi,4.2,(860+)
116,Mix Grill,https://www.doordash.com/store/750102/?pickup=false,"$$ • Mediterranean, Fast Food",17 min • 0.6 mi,3.9,(83)
117,Trung Nguyen V-n Sub,https://www.doordash.com/store/790726/?pickup=false,$$ • Vietnamese,17 min • 0.4 mi,4.8,(80)
118,The Spicy Amigos,https://www.doordash.com/store/100091/?pickup=false,"$$ • Mexican, Appetizers",24 min • 0.8 mi,4.5,(379)
119,Modern Burger,https://www.doordash.com/store/2305543/?pickup=false,"$$ • Burgers, Fries",19 min • 0.3 mi,4.3,(64)
120,Noto Gelato,https://www.doordash.com/store/1289572/?pickup=false,"$$ • Gelato, Dessert",16 min • 0.9 mi,4.9,(160)
121,Mia Pasta,https://www.doordash.com/store/1715083/?pickup=false,$ • Salad,19 min • 0.3 mi,4.5,(166)
122,Aleppo Shawarma and Donair,https://www.doordash.com/store/567185/?pickup=false,"$$ • Mediterranean, Wraps",22 min • 1.4 mi,4.5,(169)
123,Sucre Patisserie & Cafe,https://www.doordash.com/store/189835/?pickup=false,"$$ • Cafe, Cookies",24 min • 0.8 mi,4.7,(269)
124,Side Street Pub & Grill,https://www.doordash.com/store/100109/?pickup=false,"$$ • Italian, Pizza",29 min • 1.3 mi,4.4,"(1,500+)"
125,Subway,https://www.doordash.com/store/474676/?pickup=false,"$ • Build Your Own, Cookies",12 min • 0.3 mi,4.4,(188)
126,Beebop Doughnut Shop,https://www.doordash.com/store/1957457/?pickup=false,"$$ • Donuts, Pastries",22 min • 0.8 mi,4.7,(180)
