,restaurant,url,category,distance,star,num_reviews
102,CoCo Fresh Tea & Juice,https://www.doordash.com/store/1351831/?pickup=false,"$$ • Milk Tea, Bubble Tea",0.2 mi • 16 min,4.8,(760+)
103,Sophie Sucrée,https://www.doordash.com/store/905263/?pickup=false,"$$ • Vegan, Cupcakes",1.2 mi • 23 min,4.8,(342)
104,Ichiraku Kawaki,https://www.doordash.com/store/721561/?pickup=false,"$$ • Japanese, Sushi",1.1 mi • 26 min,4.4,(118)
105,Dunn's Famous Express,https://www.doordash.com/store/939329/?pickup=false,"$$ • Poutineries, Pizza",0.4 mi • 20 min,4.3,(580+)
106,3 Brasseurs,https://www.doordash.com/store/937187/?pickup=false,"$$ • Poutineries, Pizza",0.2 mi • 18 min,4.2,(222)
107,QingHua Dumpling (Maisonneuve),https://www.doordash.com/store/630110/?pickup=false,"$$ • Chinese, Dumplings",0.3 mi • 23 min,4.7,(426)
108,Restaurant Delicieux,https://www.doordash.com/store/629784/?pickup=false,"$$ • Szechuan, Cantonese",2.3 mi • 27 min,4.4,(690+)
109,Banditos Burritos,https://www.doordash.com/store/1257244/?pickup=false,"$$ • Bowls, Burritos",2.1 mi • 26 min,4.3,(377)
110,La Popessa,https://www.doordash.com/store/747967/?pickup=false,"$$ • Italian, Pizza",1.1 mi • 20 min,4.0,(35)
111,Deli Lesters,https://www.doordash.com/store/630158/?pickup=false,"$$ • Deli, Sandwiches",2.1 mi • 26 min,4.7,(235)
112,Nouilles Zhonghua,https://www.doordash.com/store/748242/?pickup=false,"$ • Chinese, Noodles",0.4 mi • 19 min,4.8,(237)
113,Hang Time Pizza,https://www.doordash.com/store/2304696/?pickup=false,"$$ • American, Pizza",600 ft • 23 min,4.4,(198)
114,Yifang Taiwan Fruit Tea,https://www.doordash.com/store/2208200/?pickup=false,"$$ • Taiwanese, Fruit Tea",0.2 mi • 18 min,4.6,(117)
115,Hazukido,https://www.doordash.com/store/2815281/?pickup=false,"$$ • Dessert, Coffee",0.3 mi • 18 min,4.7,(69)
116,Wrap Kings,https://www.doordash.com/store/753745/?pickup=false,"$$ • Fast Food, Wraps",0.8 mi • 21 min,4.5,(210)
117,Le Bay Ca Phe,https://www.doordash.com/store/719002/?pickup=false,"$$ • Vietnamese, Pho",2.0 mi • 29 min,4.7,(479)
118,Petit Poisson Dumpling,https://www.doordash.com/store/1586935/?pickup=false,"$$ • Dumplings, Frozen Food",0.3 mi • 18 min,4.7,(55)
119,Abe & Mary's,https://www.doordash.com/store/674336/?pickup=false,"$$ • Cafe, Salads",500 ft • 25 min,4.5,(149)
120,Lloydie's,https://www.doordash.com/store/1081679/?pickup=false,"$$ • Caribbean, Poutineries",1.8 mi • 28 min,4.6,(470)
121,M4 Burrito (Rue St-Denis),https://www.doordash.com/store/783030/?pickup=false,"$$ • Mexican, Burritos",1.4 mi • 22 min,4.5,(56)
122,3 Amigos,https://www.doordash.com/store/1285716/?pickup=false,"$$ • Mexican, Alcohol",0.3 mi • 30 min,4.4,"(1,400+)"
123,World Tea House 世界茶饮,https://www.doordash.com/store/23084187/?pickup=false,"$$ • Fruit Tea, Green Tea",0.3 mi • 20 min,4.8,(24)
124,Bistro CO UT,https://www.doordash.com/store/714273/?pickup=false,"$$ • Vietnamese, Noodles",1.7 mi • 30 min,4.6,(161)
125,Pizza Saint Henri,https://www.doordash.com/store/1710167/?pickup=false,"$$ • Italian, Pizza",1.5 mi • 29 min,4.5,(274)
126,Vua,https://www.doordash.com/store/819367/?pickup=false,"$$ • Sandwiches, Banh Mi",1.4 mi • 26 min,4.3,(341)
127,Restaurant Pho Maisonneuve,https://www.doordash.com/store/762158/?pickup=false,"$$ • Vietnamese, Soup",1.6 mi • 28 min,4.5,(213)
128,Restaurant Santa Lucia,https://www.doordash.com/store/970838/?pickup=false,"$$ • Italian, Pizza",0.3 mi • 24 min,4.5,(312)
129,Mclean's Pub,https://www.doordash.com/store/714539/?pickup=false,"$$ • Pizza, Chicken Wings",0.4 mi • 16 min,4.0,
130,Pho Bac 97 (Boul St-Laurent),https://www.doordash.com/store/954771/?pickup=false,"$$ • Vietnamese, Soup",1.1 mi • 23 min,4.6,(250)
131,COQCOR,https://www.doordash.com/store/2039191/?pickup=false,"$$ • Korean, Snacks",0.3 mi • 20 min,4.6,(174)
132,Bowhead Pub,https://www.doordash.com/store/749768/?pickup=false,"$$ • Vegan, Burgers",1.2 mi • 29 min,4.6,(151)
133,Mysore La Express,https://www.doordash.com/store/877208/?pickup=false,"$$ • Halal, Indian",1.3 mi • 26 min,4.6,(160)
134,Eko Sushi,https://www.doordash.com/store/1665357/?pickup=false,"$$$ • Japanese, Sushi",1.3 mi • 26 min,4.7,(359)
135,Olivia's Authentic Chicken,https://www.doordash.com/store/22964530/?pickup=false,"$$ • Chicken, Fried Chicken",600 ft • 20 min,4.5,(33)
136,Takara,https://www.doordash.com/store/1212473/?pickup=false,"$$ • Japanese, Sushi",0.3 mi • 18 min,3.9,(17)
137,Coco Rico,https://www.doordash.com/store/1387304/?pickup=false,"$ • Portuguese, Chicken",1.2 mi • 25 min,4.6,(317)
138,La Cage,https://www.doordash.com/store/838635/?pickup=false,"$$ • Brasseries, Alcohol",0.5 mi • 22 min,4.3,(183)
139,Nos Thes,https://www.doordash.com/store/629797/?pickup=false,"$$ • Japanese, Milk Tea",0.3 mi • 30 min,4.7,"(1,100+)"
140,L'appétissant Sichuan,https://www.doordash.com/store/2907550/?pickup=false,"$$ • Chinese, Hot Pot",0.3 mi • 20 min,5.0,
141,Kinton Ramen Canada,https://www.doordash.com/store/698682/?pickup=false,"$$ • Ramen, Japanese",0.3 mi • 18 min,4.6,(446)
142,Arahova Souvlaki Saint Viateur,https://www.doordash.com/store/629873/?pickup=false,"$$ • Greek, Dessert",2.0 mi • 27 min,4.2,(247)
143,YUMI,https://www.doordash.com/store/23058100/?pickup=false,"$$ • Hot Dogs, Fried Chicken Sandwich",900 ft • 16 min,3.6,(15)
144,YUMI,https://www.doordash.com/store/23058100/?pickup=false,"$$ • Hot Dogs, Fried Chicken Sandwich",900 ft • 16 min,3.6,(15)
145,Restaurant Shi Tang,https://www.doordash.com/store/1712284/?pickup=false,"$$ • Chinese, Vegetarian",0.2 mi • 17 min,4.7,(20)
146,Montreal Pool Room,https://www.doordash.com/store/1304339/?pickup=false,"$$ • Burgers, Poutineries",1.1 mi • 27 min,4.5,(402)
147,Hansang,https://www.doordash.com/store/630192/?pickup=false,"$$ • Korean, Bibimpap",1.7 mi • 30 min,4.8,(428)
