,restaurant,url,category,distance,star,num_reviews
89,Si Señor,https://www.doordash.com/store/642140/?pickup=false,"$$ • Chips and Salsa, Quesadillas",1.2 mi • 26 min,4.5,(88)
90,Loaded Pierogi,https://www.doordash.com/store/1864196/?pickup=false,"$$ • Salads, Beer",2.2 mi • 27 min,4.6,(141)
91,Bronson Pizza,https://www.doordash.com/store/298526/?pickup=false,"$$ • Italian, Pizza",1.0 mi • 25 min,4.7,(39)
92,Copper Branch,https://www.doordash.com/store/1245904/?pickup=false,"$$ • Vegan, Coffee & Tea",0.4 mi • 20 min,4.5,(144)
93,Remac Convenience Store,https://www.doordash.com/convenience/store/1566886/?pickup=false,"$$ • Convenience, Grocery",0.7 mi • 17 min,4.0,(11)
94,Burger Lovers,https://www.doordash.com/store/298730/?pickup=false,"$$ • Burgers, Salads",0.9 mi • 19 min,4.1,(129)
95,Amaya Express,https://www.doordash.com/store/530064/?pickup=false,"$$ • Indian, Street Food",0.5 mi • 22 min,4.2,(218)
96,2 for 1 Pizza,https://www.doordash.com/store/298196/?pickup=false,"$$ • Pizza, Salads",0.6 mi • 22 min,4.1,(128)
97,Zak's Diner,https://www.doordash.com/store/818441/?pickup=false,"$$ • Burgers, Wraps",0.5 mi • 27 min,4.5,(138)
98,Kaz Kitchen + Grocery,https://www.doordash.com/store/1357018/?pickup=false,"$$ • Burgers, Fries",0.8 mi • 20 min,4.8,
99,SOS Treats,https://www.doordash.com/store/2559390/?pickup=false,"$$ • Cookies, Gluten-Free",0.4 mi • 17 min,4.6,
100,Indian Express Food & Sweets,https://www.doordash.com/store/299243/?pickup=false,"$$ • Indian, Chicken",1.3 mi • 26 min,3.5,(159)
101,Pho By Night,https://www.doordash.com/store/298176/?pickup=false,"$$ • Vietnamese, Vegetarian",0.6 mi • 29 min,4.5,(100)
102,Hangout,https://www.doordash.com/store/1312410/?pickup=false,"$$ • Healthy, Coffee & Tea",1.2 mi • 22 min,4.5,
103,Boustan,https://www.doordash.com/store/23080686/?pickup=false,"$$ • Lebanese, Falafel",0.6 mi • 22 min,4.3,(49)
104,New York Fries,https://www.doordash.com/store/1026835/?pickup=false,"$$ • Fries, Hot Dogs",0.5 mi • 27 min,4.5,(104)
105,Soup Fairy Malatang 汤小仙,https://www.doordash.com/store/1498000/?pickup=false,"$$ • Chinese, Healthy",0.7 mi • 25 min,4.5,(43)
106,Pho 99 Beef Noodle Soup Restaurant,https://www.doordash.com/store/298519/?pickup=false,"$$ • Vietnamese, Noodles",1.2 mi • 24 min,4.4,(81)
