,restaurant,url,category,distance,star,num_reviews
176,Asia City,https://www.doordash.com/store/782160/?pickup=false,"$$ • Cafes, Takeout",0.7 mi • Closed,4.3,(176)
177,Infinity Ultra Lounge and Bar,https://www.doordash.com/store/23109151/?pickup=false,"$$ • Sandwiches, BBQ",700 ft • Closed,,
178,Sushi June (City Place Mall 2nd Floor),https://www.doordash.com/store/578413/?pickup=false,"$$ • Sushi, Japanese",400 ft • Closed,4.1,(47)
179,Chokecherry Kitchen,https://www.doordash.com/store/2567558/?pickup=false,"$$ • Breakfast, Pizza",0.3 mi • Closed,5.0,
180,Tropik Coffee & Tea House,https://www.doordash.com/store/23451054/?pickup=false,"$$ • Coffee Shop, Coffee & Tea",0.2 mi • Closed,,
181,Wanabees Diner,https://www.doordash.com/store/870836/?pickup=false,"$$ • Diners, Breakfast",0.8 mi • Closed,4.9,(119)
182,Pan de Cretos Bakery,https://www.doordash.com/store/2487255/?pickup=false,"$$ • Bakery, Spanish",0.8 mi • Closed,4.7,(44)
183,Mac & Cheese Stop,https://www.doordash.com/store/727360/?pickup=false,"$$ • Burgers, Salads",0.8 mi • Closed,3.0,
184,139150332-307176769542583349,https://www.doordash.com/store/2579946/?pickup=false,$,0.4 mi • Closed,,
185,Rudy's Eat & Drink,https://www.doordash.com/store/1723859/?pickup=false,$$ • Pizza,0.2 mi • Closed,4.8,
186,Marcello's Market and Deli (Lombard Pl),https://www.doordash.com/store/577047/?pickup=false,"$$ • American, Sandwiches",0.3 mi • Closed,4.6,(12)
187,Crazee Creations,https://www.doordash.com/store/1757417/?pickup=false,"$$ • Snacks, Grocery",0.4 mi • Closed,,
188,RIMYYA FRIENDSHIP Bar and Restaurant,https://www.doordash.com/store/23286295/?pickup=false,"$$ • Pizza, Breakfast",0.6 mi • Closed,,
189,Harrisons Coffee Co,https://www.doordash.com/store/1218068/?pickup=false,$$ • Coffee,0.5 mi • Closed,5.0,
190,Asmara Cafe,https://www.doordash.com/store/1299639/?pickup=false,"$$ • Italian, Sandwiches",0.8 mi • Closed,,
191,Jennybakes,https://www.doordash.com/store/1669010/?pickup=false,"$$ • Desserts, Cheesecake",1.9 mi • Closed,5.0,(30)
192,The Taj East Indian Cuisine,https://www.doordash.com/store/853919/?pickup=false,"$$ • Indian, Vegetarian",0.6 mi • Closed,3.1,(18)
193,OH!GOOD!PATH!,https://www.doordash.com/store/2209036/?pickup=false,"$ • Japanese, Sushi",1.1 mi • Closed,,
194,Raffy's Cafe,https://www.doordash.com/store/1653918/?pickup=false,"$$ • Filipino, Breakfast",1.8 mi • Closed,4.4,(39)
195,AFV KITCHEN,https://www.doordash.com/store/656586/?pickup=false,"$$ • Steakhouses, African",1.9 mi • Closed,4.5,(58)
